"","SPECIES","NAME","STATUS","POP_TREND"
"1","Acerodon celebensis","Sulawesi Fruit Bat","Vulnerable","decreasing"
"2","Acerodon humilis","Talaud Fruit Bat","Endangered","decreasing"
"3","Acerodon jubatus","Golden-capped Fruit Bat","Endangered","decreasing"
"4","Acerodon leucotis","Palawan Fruit Bat","Vulnerable","decreasing"
"5","Acerodon mackloti","Sunda Fruit Bat","Vulnerable","decreasing"
"6","Aethalops aequalis","Borneo Fruit Bat","Least Concern","unknown"
"7","Aethalops alecto","Pygmy Fruit Bat","Least Concern","unknown"
"8","Alionycteris paucidentata","Mindanao Pygmy Fruit Bat","Least Concern","stable"
"9","Aproteles bulmerae","Bulmer's Fruit Bat","Critically Endangered","decreasing"
"10","Balionycteris maculata","Spotted-winged Fruit Bat","Least Concern","unknown"
"11","Casinycteris argynnis","Short-palated Fruit Bat","Least Concern","unknown"
"12","Casinycteris campomaanensis","Campo-Ma’an fruit bat ","Data Deficient","unknown"
"13","Chironax melanocephalus","Black-capped Fruit Bat","Least Concern","unknown"
"14","Cynopterus brachyotis","Lesser Dog-faced Fruit Bat","Least Concern","unknown"
"15","Cynopterus horsfieldii","Horsfield’s Fruit Bat","Least Concern","unknown"
"16","Cynopterus luzoniensis","Peters’s Fruit Bat","Least Concern","stable"
"17","Cynopterus minutus","Minute Fruit Bat","Least Concern","decreasing"
"18","Cynopterus nusatenggara","Nusatenggara Short-nosed Fruit Bat","Least Concern","stable"
"19","Cynopterus sphinx","Greater Shortnosed Fruit Bat","Least Concern","increasing"
"20","Cynopterus titthaecheilus","Indonesian Short-nosed Fruit Bat","Least Concern","stable"
"21","Dobsonia anderseni","Andersen's Bare-backed Fruit Bat","Least Concern","stable"
"22","Dobsonia beauforti","Beaufort's Bare-backed Fruit Bat","Least Concern","unknown"
"23","Dobsonia chapmani","Philippine Bare-backed Fruit Bat","Critically Endangered","decreasing"
"24","Dobsonia crenulata","Halmahera Naked-backed Fruit Bat","Least Concern","stable"
"25","Dobsonia emersa","Biak Bare-backed Fruit Bat","Vulnerable","unknown"
"26","Dobsonia exoleta","Sulawesi Naked-backed Fruit Bat","Least Concern","unknown"
"27","Dobsonia inermis","Solomons Bare-backed Fruit Bat","Least Concern","stable"
"28","Dobsonia minor","Lesser Bare-backed Fruit Bat","Least Concern","unknown"
"29","Dobsonia moluccensis","Moluccan Naked-backed Fruit Bat","Least Concern","stable"
"30","Dobsonia pannietensis","Panaeati Bare-backed Fruit Bat","Near Threatened","unknown"
"31","Dobsonia peronii","Western Naked-backed Fruit Bat","Least Concern","stable"
"32","Dobsonia praedatrix","Bismarck Bare-backed Fruit Bat","Least Concern","unknown"
"33","Dobsonia viridis","Greenish Naked-backed Fruit Bat","Least Concern","stable"
"34","Dyacopterus brooksi","Brooks’s Dyak Fruit Bat","Vulnerable","decreasing"
"35","Dyacopterus spadiceus","Dayak Fruit Bat","Near Threatened","decreasing"
"36","Eidolon dupreanum","Madagascan Fruit Bat","Vulnerable","decreasing"
"37","Eidolon helvum","African Straw-coloured Fruit-bat","Near Threatened","decreasing"
"38","Eonycteris major","Greater Dawn Bat","Data Deficient","unknown"
"39","Eonycteris robusta","Philippine Dawn Bat","Near Threatened","decreasing"
"40","Eonycteris spelaea","Dawn Bat","Least Concern","unknown"
